label,propertyKey,valueType,defaultValue,state
User,username,STRING,,PERSISTENT
User,email,STRING,,PERSISTENT
User,age,LONG,"DefaultValue(25)",PERSISTENT
User,verified,BOOLEAN,,PERSISTENT
User,followers,LONG,"DefaultValue(0)",PERSISTENT
User,bio,STRING,,PERSISTENT
Post,id,STRING,,PERSISTENT
Post,title,STRING,,PERSISTENT
Post,content,STRING,,PERSISTENT
Post,timestamp,STRING,,PERSISTENT
Post,likes,LONG,"DefaultValue(0)",PERSISTENT
Post,public,BOOLEAN,,PERSISTENT
Company,name,STRING,,PERSISTENT
Company,industry,STRING,,PERSISTENT
Company,employees,LONG,"DefaultValue(100)",PERSISTENT
Company,founded,LONG,,PERSISTENT
Company,revenue,DOUBLE,,PERSISTENT
Tag,name,STRING,,PERSISTENT
Tag,category,STRING,,PERSISTENT
